Time,UserId,AdvertiserId,OrderId,LineItemId,CreativeId,CreativeVersion,CreativeSize,AdUnitId,CustomTargeting,Domain,CountryId,Country,RegionId,Region,MetroId,Metro,CityId,City,PostalCodeId,PostalCode,BrowserId,Browser,OSId,OS,BandWidth,BandwidthId,TimeUsec,AudienceSegmentIds,RequestedAdUnitSizes,BandwidthGroupId,MobileDevice,OSVersion,MobileCapability,MobileCarrier,Product,GfpContentId,PublisherProvidedID
2013-01-17-12:54:01,WDvmeaZ_Xh99sLlY-uwZnA,12089816,114593816,3922616,17153182016,1,300x50,4102976,subid=i1231358423633,vodafone.de,2276,Germany,0,,0,,0,,0,,500105,Android Browser Any.Any,501013,Android,carrier,502013,1358423641,,300x50,7,Desire HD_from_HTC,EqualTo_Android_2_3,supports calls,Vodafone in DE,Ad Server,0,
2013-01-17-12:53:02,WDvmeaZ_Xh99sLlY-uwZnA,11893736,110830136,3529616,16164717536,1,300x50,4102976,subid=i1231358423576,vodafone.de,2276,Germany,0,,0,,0,,0,,500105,Android Browser Any.Any,501013,Android,carrier,502013,1358423582,,300x50,7,Desire HD_from_HTC,EqualTo_Android_2_3,supports calls,Vodafone in DE,Ad Server,0,
2013-01-17-12:49:32,gBqN6sKAR6zM0PUpmMOfvw,12089816,114593816,3922616,17153182016,1,300x50,4102976,subid=i1231358423189,t-ipconnect.de,2276,Germany,20226,Berlin,0,,1003854,Berlin,0,,500015,Firefox Other.Other,501011,Microsoft Windows 7,adsl-8mbps,502017,1358423372,,300x50,3,,,,,Ad Server,0,
2013-01-17-12:53:56,WDvmeaZ_Xh99sLlY-uwZnA,11893736,110830136,3529616,16164717536,1,300x50,4102976,subid=i1231358423633,vodafone.de,2276,Germany,0,,0,,0,,0,,500105,Android Browser Any.Any,501013,Android,carrier,502013,1358423636,,300x50,7,Desire HD_from_HTC,EqualTo_Android_2_3,supports calls,Vodafone in DE,Ad Server,0,
